id,text,category
1,No water supply in ward 3 since two days,Water
2,Water pipe leaking near temple road,Water
3,Drinking water is dirty in our village,Water
4,Water tank is damaged near school,Water
5,Low water pressure in ward 5,Water
6,Borewell not working in main market area,Water
7,Water overflowing from pipeline near bus stand,Water
8,No drinking water facility near bus stop,Water
9,Hand pump not functioning in ward 2,Water
10,Water supply stops every evening,Water
11,Pipeline broken near hospital road,Water
12,Water is muddy and unsafe for drinking,Water
13,Leakage in underground water pipe,Water
14,No water in public tap since morning,Water
15,Water tank cleaning not done for months,Water
16,Water shortage in our area daily,Water
17,Tap water has bad smell,Water
18,Overflowing water tank near Panchayat office,Water
19,Water connection not provided to new houses,Water
20,Drinking water problem in ward 7,Water
21,Street light not working near temple,Electricity
22,Frequent power cuts in ward 4,Electricity
23,Electric pole damaged near school,Electricity
24,No electricity supply since morning,Electricity
25,Transformer not working in our area,Electricity
26,Loose electric wires hanging near road,Electricity
27,Street lights off in market area,Electricity
28,Voltage fluctuation in ward 6,Electricity
29,Power outage for last 5 hours,Electricity
30,Electric meter not functioning properly,Electricity
31,Electricity problem during night time,Electricity
32,Broken electric pole near bus stand,Electricity
33,High voltage causing appliance damage,Electricity
34,No street lights in our street,Electricity
35,Sparks coming from electric wire,Electricity
36,Power cut every evening in our village,Electricity
37,Transformer making loud noise,Electricity
38,Electric line fallen due to storm,Electricity
39,New connection request pending,Electricity
40,Electricity issue near hospital road,Electricity
41,Road full of potholes near school,Road
42,Main road damaged after heavy rain,Road
43,No proper road in ward 2,Road
44,Road construction work incomplete,Road
45,Big cracks on highway road,Road
46,Muddy road causing traffic problem,Road
47,Broken road near temple,Road
48,Road repair not done for months,Road
49,Uneven road surface in market area,Road
50,No street signs on main road,Road
51,Road blocked due to debris,Road
52,Drain water flowing on road,Road
53,Poor road condition near hospital,Road
54,Gravel road causing accidents,Road
55,Narrow road causing traffic jam,Road
56,Road widening work stopped,Road
57,Damaged bridge on village road,Road
58,Road not cleaned after rainfall,Road
59,Waterlogged road in ward 8,Road
60,Cracked cement road near bus stand,Road
61,Garbage not collected in ward 3,Sanitation
62,Drain blocked near school,Sanitation
63,Overflowing sewage near temple,Sanitation
64,Public toilet not cleaned regularly,Sanitation
65,Waste dumped near market area,Sanitation
66,Bad smell from drainage system,Sanitation
67,Open drainage causing mosquitoes,Sanitation
68,Garbage bins not available in street,Sanitation
69,Sewer line leaking in our area,Sanitation
70,No cleaning staff visiting regularly,Sanitation
71,Dirty surroundings near bus stop,Sanitation
72,Waste water stagnation near houses,Sanitation
73,Drainage overflow during rain,Sanitation
74,Garbage pile near hospital road,Sanitation
75,Open garbage dumping ground,Sanitation
76,Public sanitation issue in ward 6,Sanitation
77,Toilet facility broken in village,Sanitation
78,Drain not covered properly,Sanitation
79,Mosquito breeding due to stagnant water,Sanitation
80,No waste collection vehicle in area,Sanitation
81,Request for new ration card,Others
82,Pension application status pending,Others
83,Need street name board installation,Others
84,Request for new bus stop shelter,Others
85,Animal nuisance in residential area,Others
86,Request for community hall repair,Others
87,Need new street sign board,Others
88,Complaint about stray dogs,Others
89,Application for birth certificate delayed,Others
90,Tree fallen blocking pathway,Others
91,Request for new school building,Others
92,Complaint about loudspeaker disturbance,Others
93,Need speed breaker installation,Others
94,Encroachment on public land,Others
95,Request for street cleaning awareness,Others
96,Public park maintenance issue,Others
97,Complaint about illegal parking,Others
98,Need new street benches,Others
99,Request for village meeting arrangement,Others
100,General complaint regarding public service delay,Others
101,There is incomplete road work in school area.,Road
102,There is water tank overflow in ward 2.,Water
103,There is road blocked in market area.,Road
104,There is stagnant water issue in ward 2.,Sanitation
105,There is public park maintenance issue in ward 3.,Others
106,There is water leakage in market area.,Water
107,There is street light not working in hospital road.,Electricity
108,There is road blocked in ward 1.,Road
109,There is drain blocked in ward 1.,Sanitation
110,There is incomplete road work in bus stand.,Road
111,There is damaged road surface in ward 5.,Road
112,There is sewage overflow in ward 2.,Sanitation
113,There is water tank overflow in village center.,Water
114,There is dirty drinking water in ward 5.,Water
115,There is cracked cement road in hospital road.,Road
116,There is stray animal problem in school area.,Others
117,There is sewage overflow in bus stand.,Sanitation
118,There is loose wiring in ward 5.,Electricity
119,There is street light not working in ward 4.,Electricity
120,There is street light not working in hospital road.,Electricity
121,There is stray animal problem in bus stand.,Others
122,There is power cut in bus stand.,Electricity
123,There is broken pipeline in ward 2.,Water
124,There is road blocked in temple road.,Road
125,There is public park maintenance issue in ward 1.,Others
126,There is road blocked in village center.,Road
127,There is water tank overflow in hospital road.,Water
128,There is incomplete road work in ward 4.,Road
129,There is water leakage in bus stand.,Water
130,There is broken pipeline in market area.,Water
131,There is electric pole damaged in market area.,Electricity
132,There is power cut in hospital road.,Electricity
133,There is pension delay in ward 4.,Others
134,There is drain blocked in temple road.,Sanitation
135,There is potholes on road in ward 5.,Road
136,There is potholes on road in village center.,Road
137,There is request for new ration card in ward 2.,Others
138,There is garbage not collected in ward 4.,Sanitation
139,There is water leakage in market area.,Water
140,There is stray animal problem in ward 5.,Others
141,There is cracked cement road in ward 3.,Road
142,There is garbage not collected in school area.,Sanitation
143,There is potholes on road in bus stand.,Road
144,There is public park maintenance issue in school area.,Others
145,There is voltage fluctuation in school area.,Electricity
146,There is water leakage in temple road.,Water
147,There is drain blocked in ward 2.,Sanitation
148,There is water tank overflow in hospital road.,Water
149,There is waste dumped in market area.,Sanitation
150,There is damaged road surface in bus stand.,Road
151,There is potholes on road in ward 3.,Road
152,There is loose wiring in market area.,Electricity
153,There is potholes on road in ward 5.,Road
154,There is power cut in hospital road.,Electricity
155,There is public park maintenance issue in bus stand.,Others
156,There is stray animal problem in hospital road.,Others
157,There is public park maintenance issue in market area.,Others
158,There is cracked cement road in ward 5.,Road
159,There is community hall repair request in temple road.,Others
160,There is transformer failure in village center.,Electricity
161,There is request for new ration card in ward 1.,Others
162,There is waterlogged road in ward 2.,Road
163,There is water tank overflow in hospital road.,Water
164,There is road blocked in market area.,Road
165,There is low water pressure in hospital road.,Water
166,There is stagnant water issue in ward 5.,Sanitation
167,There is damaged road surface in village center.,Road
168,There is voltage fluctuation in bus stand.,Electricity
169,There is electric pole damaged in ward 2.,Electricity
170,There is low water pressure in ward 4.,Water
171,There is waste dumped in village center.,Sanitation
172,There is community hall repair request in temple road.,Others
173,There is incomplete road work in hospital road.,Road
174,There is water leakage in ward 4.,Water
175,There is loose wiring in school area.,Electricity
176,There is road blocked in bus stand.,Road
177,There is dirty drinking water in hospital road.,Water
178,There is community hall repair request in bus stand.,Others
179,There is waterlogged road in market area.,Road
180,There is cracked cement road in village center.,Road
181,There is waste dumped in hospital road.,Sanitation
182,There is need speed breaker in village center.,Others
183,There is waste dumped in hospital road.,Sanitation
184,There is water leakage in ward 2.,Water
185,There is street light not working in temple road.,Electricity
186,There is low water pressure in bus stand.,Water
187,There is sewage overflow in bus stand.,Sanitation
188,There is sewage overflow in ward 5.,Sanitation
189,There is power cut in school area.,Electricity
190,There is low water pressure in ward 4.,Water
191,There is garbage not collected in school area.,Sanitation
192,There is garbage not collected in temple road.,Sanitation
193,There is no water supply in temple road.,Water
194,There is incomplete road work in market area.,Road
195,There is street light not working in ward 3.,Electricity
196,There is bad smell from drainage in temple road.,Sanitation
197,There is request for new ration card in bus stand.,Others
198,There is garbage not collected in temple road.,Sanitation
199,There is public park maintenance issue in ward 2.,Others
200,There is no water supply in ward 1.,Water
201,There is stray animal problem in temple road.,Others
202,There is dirty drinking water in village center.,Water
203,There is sewage overflow in ward 1.,Sanitation
204,There is water tank overflow in ward 5.,Water
205,There is no water supply in temple road.,Water
206,There is community hall repair request in temple road.,Others
207,There is power cut in ward 2.,Electricity
208,There is pension delay in bus stand.,Others
209,There is street light not working in ward 2.,Electricity
210,There is power cut in ward 2.,Electricity
211,There is road blocked in market area.,Road
212,There is no water supply in ward 5.,Water
213,There is water tank overflow in ward 3.,Water
214,There is pension delay in village center.,Others
215,There is cracked cement road in market area.,Road
216,There is need speed breaker in ward 5.,Others
217,There is low water pressure in ward 1.,Water
218,There is damaged road surface in hospital road.,Road
219,There is waterlogged road in market area.,Road
220,There is potholes on road in temple road.,Road
221,There is drain blocked in hospital road.,Sanitation
222,There is garbage not collected in ward 3.,Sanitation
223,There is request for new ration card in market area.,Others
224,There is potholes on road in village center.,Road
225,There is cracked cement road in ward 5.,Road
226,There is electric pole damaged in hospital road.,Electricity
227,There is garbage not collected in ward 3.,Sanitation
228,There is dirty drinking water in ward 4.,Water
